"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_store_buffer","TypedefDecl",693,697,"png_store_buffer","png store buffer","store : Time Complexity / Space Complexity/ Memory/ Exception | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","2403178172883"
"store_palette_entry","TypedefDecl",701,707,"store_palette_entry","store palette entry","store : Time Complexity / Space Complexity/ Memory/ Exception","palette","2403840724345"
"store_palette","TypedefDecl",701,707,"store_palette","store palette","store : Time Complexity / Space Complexity/ Memory/ Exception","palette","2400214817457"
"png_store_file","TypedefDecl",709,720,"png_store_file","png store file","store : Time Complexity / Space Complexity/ Memory/ Exception","png","2400183619568"
"store_pool","TypedefDecl",725,741,"store_pool","store pool","store : Time Complexity / Space Complexity/ Memory/ Exception","","2400782150943"
"png_store","TypedefDecl",743,802,"png_store","png store","store : Time Complexity / Space Complexity/ Memory/ Exception","png","2401045715250"
"store_memory","TypedefDecl",1790,1796,"store_memory","store memory","store : Time Complexity / Space Complexity/ Memory/ Exception | memory : Time Complexity / Space Complexity/ Memory/ Exception","","2400744494579"
"modifier_state","TypedefDecl",2232,2237,"modifier_state","modifier state","","","2403339741655"
"CIE_color","TypedefDecl",2239,2247,"CIE_color","CIE color","","color","2400576844532"
"color_encoding","TypedefDecl",2249,2259,"color_encoding","color encoding","","color","2400730018937"
"png_modifier","TypedefDecl",2353,2496,"png_modifier","png modifier","","png","2403923480554"
"png_modification","TypedefDecl",2751,2768,"png_modification","png modification","modification : Operations as part of Algorithms","png","2403226438602"
"gama_modification","TypedefDecl",3296,3300,"gama_modification","gama modification","modification : Operations as part of Algorithms","gama","2402831989913"
"chrm_modification","TypedefDecl",3328,3333,"chrm_modification","chrm modification","modification : Operations as part of Algorithms","chrm","2400880032908"
"srgb_modification","TypedefDecl",3381,3385,"srgb_modification","srgb modification","modification : Operations as part of Algorithms","srgb","2400352727657"
"sbit_modification","TypedefDecl",3423,3427,"sbit_modification","sbit modification","modification : Operations as part of Algorithms","sbit","2401507608152"
"standard_display","TypedefDecl",4936,4969,"standard_display","standard display","display : Operations as part of Algorithms","","2402374144020"
"image_pixel","TypedefDecl",6018,6050,"image_pixel","image pixel","","image | pixel","2402024777238"
"image_transform","TypedefDecl",6299,6354,"image_transform","image transform","","image","2402777633797"
"transform_display","TypedefDecl",6356,6374,"transform_display","transform display","display : Operations as part of Algorithms","","2400528317167"
"gamma_display","TypedefDecl",9216,9237,"gamma_display","gamma display","display : Operations as part of Algorithms","gamma","2401331112115"
"validate_info","TypedefDecl",9402,9431,"validate_info","validate info","validate : Operations as part of Algorithms","","2401763361699"
"error","LabelStmt",6605,6617,"","error","error : Time Complexity / Space Complexity/ Memory/ Exception","","2402907234502"
"error","LabelStmt",6605,6617,"","error","error : Time Complexity / Space Complexity/ Memory/ Exception","","2402907234502"
"safecat","FunctionDecl",214,225,"size_t (char *, size_t, size_t, const char *)","safecat","","","2401119038850"
"safecatn","FunctionDecl",227,232,"size_t (char *, size_t, size_t, int)","safecatn","","","2401927242147"
"safecatd","FunctionDecl",235,241,"size_t (char *, size_t, size_t, double, int)","safecatd","","","2400096861541"
"fix","FunctionDecl",255,260,"png_fixed_point (double)","fix","","","2403209184617"
"make_random_bytes","FunctionDecl",270,293,"void (png_uint_32 *, void *, size_t)","make random bytes","make : Time Complexity / Space Complexity/ Memory/ Exception | bytes : Time Complexity / Space Complexity/ Memory/ Exception","","2402699234110"
"make_four_random_bytes","FunctionDecl",295,299,"void (png_uint_32 *, png_bytep)","make four random bytes","make : Time Complexity / Space Complexity/ Memory/ Exception | bytes : Time Complexity / Space Complexity/ Memory/ Exception","","2400350790086"
"randomize","FunctionDecl",303,308,"void (void *, size_t)","randomize","","","2403623415979"
"random_byte","FunctionDecl",313,319,"png_byte (void)","random byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","","2400560524786"
"random_u16","FunctionDecl",322,328,"png_uint_16 (void)","random u16","","","2404229019719"
"random_u32","FunctionDecl",332,338,"png_uint_32 (void)","random u32","","","2402561107905"
"random_mod","FunctionDecl",345,349,"unsigned int (unsigned int)","random mod","","","2400315342858"
"random_choice","FunctionDecl",354,358,"int (void)","random choice","","","2400480504489"
"standard_name","FunctionDecl",380,418,"size_t (char *, size_t, size_t, png_byte, int, unsigned int, int, png_uint_32, png_uint_32, int)","standard name","","","2400981626582"
"standard_name_from_id","FunctionDecl",420,426,"size_t (char *, size_t, size_t, png_uint_32)","standard name from id","","","2403862731020"
"next_format","FunctionDecl",450,517,"int (png_bytep, png_bytep, unsigned int *, int, int)","next format","next : Data-Structure and its Components","","2403877900086"
"sample","FunctionDecl",520,568,"unsigned int (png_const_bytep, png_byte, png_byte, png_uint_32, unsigned int, int, int)","sample","","","2401219500584"
"pixel_copy","FunctionDecl",579,616,"void (png_bytep, png_uint_32, png_const_bytep, png_uint_32, unsigned int, int)","pixel copy","","pixel","2402722104228"
"row_copy","FunctionDecl",622,640,"void (png_bytep, png_const_bytep, unsigned int, int)","row copy","","","2402190750495"
"pixel_cmp","FunctionDecl",645,684,"int (png_const_bytep, png_const_bytep, png_uint_32)","pixel cmp","","pixel","2402802585813"
"store_pool_mark","FunctionDecl",805,811,"void (png_bytep)","store pool mark","store : Time Complexity / Space Complexity/ Memory/ Exception","","2400550942311"
"random_32","FunctionDecl",817,832,"png_uint_32 (void)","random 32","","","2400740862511"
"store_pool_init","FunctionDecl",835,845,"void (png_store *, store_pool *)","store pool init","store : Time Complexity / Space Complexity/ Memory/ Exception | init : Properties of Datastructure / Function / Blocks","","2400307698473"
"store_init","FunctionDecl",847,884,"void (png_store *)","store init","store : Time Complexity / Space Complexity/ Memory/ Exception | init : Properties of Datastructure / Function / Blocks","","2400327706035"
"store_freebuffer","FunctionDecl",886,895,"void (png_store_buffer *)","store freebuffer","store : Time Complexity / Space Complexity/ Memory/ Exception","","2402931459103"
"store_freenew","FunctionDecl",897,913,"void (png_store *)","store freenew","store : Time Complexity / Space Complexity/ Memory/ Exception","","2404094996949"
"store_storenew","FunctionDecl",915,928,"void (png_store *)","store storenew","store : Time Complexity / Space Complexity/ Memory/ Exception","","2402761456673"
"store_freefile","FunctionDecl",930,948,"void (png_store_file **)","store freefile","store : Time Complexity / Space Complexity/ Memory/ Exception","","2401779710421"
"bits_of","FunctionDecl",950,964,"unsigned int (png_uint_32)","bits of","","","2400448294883"
"store_storefile","FunctionDecl",969,1004,"void (png_store *, png_uint_32)","store storefile","store : Time Complexity / Space Complexity/ Memory/ Exception","","2402108019786"
"store_message","FunctionDecl",1007,1044,"size_t (png_store *, png_const_structp, char *, size_t, size_t, const char *)","store message","store : Time Complexity / Space Complexity/ Memory/ Exception","message","2402908728271"
"store_verbose","FunctionDecl",1047,1059,"void (png_store *, png_const_structp, png_const_charp, png_const_charp)","store verbose","store : Time Complexity / Space Complexity/ Memory/ Exception","","2400236833857"
"store_log","FunctionDecl",1062,1076,"void (png_store *, png_const_structp, png_const_charp, int)","store log","store : Time Complexity / Space Complexity/ Memory/ Exception | log : Operations as part of Data structure","","2400523170377"
"internal_error","FunctionDecl",1080,1090,"void (png_store *, png_const_charp)","internal error","internal : Properties of Datastructure / Function / Blocks | error : Time Complexity / Space Complexity/ Memory/ Exception","","2403736034442"
"store_error","FunctionDecl",1094,1108,"void (png_structp, png_const_charp)","store error","store : Time Complexity / Space Complexity/ Memory/ Exception | error : Time Complexity / Space Complexity/ Memory/ Exception","","2400005722858"
"store_warning","FunctionDecl",1110,1120,"void (png_structp, png_const_charp)","store warning","store : Time Complexity / Space Complexity/ Memory/ Exception","","2402735674487"
"store_image_row","FunctionDecl",1126,1139,"png_bytep (const png_store *, png_const_structp, int, png_uint_32)","store image row","store : Time Complexity / Space Complexity/ Memory/ Exception","image","2402688375527"
"store_image_free","FunctionDecl",1141,1161,"void (png_store *, png_const_structp)","store image free","store : Time Complexity / Space Complexity/ Memory/ Exception | free : Time Complexity / Space Complexity/ Memory/ Exception","image","2404093275955"
"store_ensure_image","FunctionDecl",1163,1227,"void (png_store *, png_const_structp, int, size_t, png_uint_32)","store ensure image","store : Time Complexity / Space Complexity/ Memory/ Exception","image","2400788309599"
"store_image_check","FunctionDecl",1230,1258,"void (const png_store *, png_const_structp, int)","store image check","store : Time Complexity / Space Complexity/ Memory/ Exception | check : Operations as part of Algorithms","image","2402239458337"
"valid_chunktype","FunctionDecl",1261,1280,"int (png_uint_32)","valid chunktype","valid : Operations as part of Algorithms","","2403136939166"
"store_write","FunctionDecl",1282,1374,"void (png_structp, png_bytep, size_t)","store write","store : Time Complexity / Space Complexity/ Memory/ Exception | write : Operations as part of Data structure","","2403828402667"
"store_flush","FunctionDecl",1376,1380,"void (png_structp)","store flush","store : Time Complexity / Space Complexity/ Memory/ Exception","","2403168213747"
"store_read_buffer_size","FunctionDecl",1383,1391,"size_t (png_store *)","store read buffer size","store : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure | buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","2401605836904"
"store_read_buffer_avail","FunctionDecl",1394,1416,"size_t (png_store *)","store read buffer avail","store : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure | buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2402159319931"
"store_read_buffer_next","FunctionDecl",1418,1439,"int (png_store *)","store read buffer next","store : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure | buffer : Time Complexity / Space Complexity/ Memory/ Exception | next : Data-Structure and its Components","","2401516641898"
"store_read_imp","FunctionDecl",1444,1466,"void (png_store *, png_bytep, size_t)","store read imp","store : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure","","2401815544198"
"store_read_chunk","FunctionDecl",1468,1699,"size_t (png_store *, png_bytep, size_t, size_t)","store read chunk","store : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure","chunk","2402351426327"
"store_read","FunctionDecl",1701,1711,"void (png_structp, png_bytep, size_t)","store read","store : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure","","2401348640433"
"store_progressive_read","FunctionDecl",1713,1737,"void (png_store *, png_structp, png_infop)","store progressive read","store : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure","progressive","2404294961989"
"store_write_palette","FunctionDecl",1741,1763,"store_palette_entry *(png_store *, int)","store write palette","store : Time Complexity / Space Complexity/ Memory/ Exception | write : Operations as part of Data structure","palette","2402706360534"
"store_current_palette","FunctionDecl",1766,1781,"store_palette_entry *(png_store *, int *)","store current palette","store : Time Complexity / Space Complexity/ Memory/ Exception","palette","2404210138761"
"store_pool_error","FunctionDecl",1805,1816,"void (png_store *, png_const_structp, const char *)","store pool error","store : Time Complexity / Space Complexity/ Memory/ Exception | error : Time Complexity / Space Complexity/ Memory/ Exception","","2403458182252"
"store_memory_free","FunctionDecl",1818,1850,"void (png_const_structp, store_pool *, store_memory *)","store memory free","store : Time Complexity / Space Complexity/ Memory/ Exception | memory : Time Complexity / Space Complexity/ Memory/ Exception | free : Time Complexity / Space Complexity/ Memory/ Exception","","2402464841044"
"store_pool_delete","FunctionDecl",1852,1901,"void (png_store *, store_pool *)","store pool delete","store : Time Complexity / Space Complexity/ Memory/ Exception | delete : Time Complexity / Space Complexity/ Memory/ Exception","","2400001726597"
"store_malloc","FunctionDecl",1904,1951,"png_voidp (png_structp, png_alloc_size_t)","store malloc","store : Time Complexity / Space Complexity/ Memory/ Exception | malloc : Time Complexity / Space Complexity/ Memory/ Exception","","2400352520410"
"store_free","FunctionDecl",1953,1985,"void (png_structp, png_voidp)","store free","store : Time Complexity / Space Complexity/ Memory/ Exception | free : Time Complexity / Space Complexity/ Memory/ Exception","","2401882701737"
"store_write_reset","FunctionDecl",1990,2017,"void (png_store *)","store write reset","store : Time Complexity / Space Complexity/ Memory/ Exception | write : Operations as part of Data structure | reset : Operations as part of Algorithms","","2401079477649"
"set_store_for_write","FunctionDecl",2024,2071,"png_structp (png_store *, png_infopp, const char *)","set store for write","set : Data-Structure and its Components | store : Time Complexity / Space Complexity/ Memory/ Exception | for : Operations as part of Algorithms | write : Operations as part of Data structure","","2402318936723"
"store_read_reset","FunctionDecl",2077,2112,"void (png_store *)","store read reset","store : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure | reset : Operations as part of Algorithms","","2403697265797"
"store_read_set","FunctionDecl",2115,2146,"void (png_store *, png_uint_32)","store read set","store : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure | set : Data-Structure and its Components","","2400732485262"
"set_store_for_read","FunctionDecl",2153,2208,"png_structp (png_store *, png_infopp, png_uint_32, const char *)","set store for read","set : Data-Structure and its Components | store : Time Complexity / Space Complexity/ Memory/ Exception | for : Operations as part of Algorithms | read : Operations as part of Data structure","","2402590023849"
"store_delete","FunctionDecl",2214,2221,"void (png_store *)","store delete","store : Time Complexity / Space Complexity/ Memory/ Exception | delete : Time Complexity / Space Complexity/ Memory/ Exception","","2400102482064"
"chromaticity_x","FunctionDecl",2263,2267,"double (CIE_color)","chromaticity x","","","2400601376754"
"chromaticity_y","FunctionDecl",2269,2273,"double (CIE_color)","chromaticity y","","","2400725727271"
"white_point","FunctionDecl",2275,2285,"CIE_color (const color_encoding *)","white point","","","2402202656826"
"normalize_color_encoding","FunctionDecl",2289,2307,"void (color_encoding *)","normalize color encoding","","color","2402615193977"
"safecat_color_encoding","FunctionDecl",2311,2349,"size_t (char *, size_t, size_t, const color_encoding *, double)","safecat color encoding","","color","2403215728855"
"fail","FunctionDecl",2501,2505,"int (png_modifier *)","fail","fail : Time Complexity / Space Complexity/ Memory/ Exception","","2404281361243"
"modifier_init","FunctionDecl",2507,2565,"void (png_modifier *)","modifier init","init : Properties of Datastructure / Function / Blocks","","2402110032164"
"digitize","FunctionDecl",2586,2608,"double (double, int, int)","digitize","","","2402520455776"
"abserr","FunctionDecl",2613,2623,"double (const png_modifier *, int, int)","abserr","","","2403298568097"
"calcerr","FunctionDecl",2625,2636,"double (const png_modifier *, int, int)","calcerr","","","2403983907300"
"pcerr","FunctionDecl",2638,2648,"double (const png_modifier *, int, int)","pcerr","","","2403440042896"
"outerr","FunctionDecl",2661,2687,"double (const png_modifier *, int, int)","outerr","","","2403212153815"
"outlog","FunctionDecl",2693,2724,"double (const png_modifier *, int, int)","outlog","","","2400715150863"
"output_quantization_factor","FunctionDecl",2731,2739,"int (const png_modifier *, int, int)","output quantization factor","output : Data-Structure and its Components","","2401002336034"
"modification_reset","FunctionDecl",2770,2780,"void (png_modification *)","modification reset","modification : Operations as part of Algorithms | reset : Operations as part of Algorithms","","2404150807914"
"modification_init","FunctionDecl",2782,2791,"void (png_modification *)","modification init","modification : Operations as part of Algorithms | init : Properties of Datastructure / Function / Blocks","","2400246096472"
"modifier_current_encoding","FunctionDecl",2794,2804,"void (const png_modifier *, color_encoding *)","modifier current encoding","","","2401736373818"
"safecat_current_encoding","FunctionDecl",2808,2819,"size_t (char *, size_t, size_t, const png_modifier *)","safecat current encoding","","","2402377940405"
"modifier_total_encodings","FunctionDecl",2839,2855,"unsigned int (const png_modifier *)","modifier total encodings","total : Properties of Datastructure / Function / Blocks","","2402949556718"
"modifier_encoding_iterate","FunctionDecl",2857,2886,"void (png_modifier *)","modifier encoding iterate","iterate : Operations as part of Algorithms","","2400344414108"
"modifier_reset","FunctionDecl",2888,2908,"void (png_modifier *)","modifier reset","reset : Operations as part of Algorithms","","2400930005465"
"modifier_set_encoding","FunctionDecl",2914,2950,"void (png_modifier *)","modifier set encoding","set : Data-Structure and its Components","","2402783632640"
"modifier_color_encoding_is_sRGB","FunctionDecl",2955,2960,"int (const png_modifier *)","modifier color encoding is s RGB","","color | rgb","2400556954804"
"modifier_color_encoding_is_set","FunctionDecl",2962,2966,"int (const png_modifier *)","modifier color encoding is set","set : Data-Structure and its Components","color","2401313435725"
"modifier_crc","FunctionDecl",2969,2980,"void (png_bytep)","modifier crc","","crc","2403717556526"
"modifier_setbuffer","FunctionDecl",2982,2988,"void (png_modifier *)","modifier setbuffer","","","2403231748182"
"modifier_read_imp","FunctionDecl",2994,3196,"void (png_modifier *, png_bytep, size_t)","modifier read imp","read : Operations as part of Data structure","","2400035902464"
"modifier_read","FunctionDecl",3199,3209,"void (png_structp, png_bytep, size_t)","modifier read","read : Operations as part of Data structure","","2402793431720"
"modifier_progressive_read","FunctionDecl",3214,3266,"void (png_modifier *, png_structp, png_infop)","modifier progressive read","read : Operations as part of Data structure","progressive","2400098238208"
"set_modifier_for_read","FunctionDecl",3269,3288,"png_structp (png_modifier *, png_infopp, png_uint_32, const char *)","set modifier for read","set : Data-Structure and its Components | for : Operations as part of Algorithms | read : Operations as part of Data structure","","2403997926945"
"gama_modify","FunctionDecl",3302,3311,"int (png_modifier *, png_modification *, int)","gama modify","modify : Operations as part of Algorithms","gama","2400207324161"
"gama_modification_init","FunctionDecl",3313,3326,"void (gama_modification *, png_modifier *, double)","gama modification init","modification : Operations as part of Algorithms | init : Properties of Datastructure / Function / Blocks","gama","2403559559490"
"chrm_modify","FunctionDecl",3335,3351,"int (png_modifier *, png_modification *, int)","chrm modify","modify : Operations as part of Algorithms","chrm","2400018991632"
"chrm_modification_init","FunctionDecl",3353,3379,"void (chrm_modification *, png_modifier *, const color_encoding *)","chrm modification init","modification : Operations as part of Algorithms | init : Properties of Datastructure / Function / Blocks","chrm","2402666208640"
"srgb_modify","FunctionDecl",3387,3396,"int (png_modifier *, png_modification *, int)","srgb modify","modify : Operations as part of Algorithms","srgb","2401748548143"
"srgb_modification_init","FunctionDecl",3398,3420,"void (srgb_modification *, png_modifier *, png_byte)","srgb modification init","modification : Operations as part of Algorithms | init : Properties of Datastructure / Function / Blocks","srgb","2400611603153"
"sbit_modify","FunctionDecl",3429,3476,"int (png_modifier *, png_modification *, int)","sbit modify","modify : Operations as part of Algorithms","sbit","2402813678469"
"sbit_modification_init","FunctionDecl",3478,3488,"void (sbit_modification *, png_modifier *, png_byte)","sbit modification init","modification : Operations as part of Algorithms | init : Properties of Datastructure / Function / Blocks","sbit","2403270868223"
"make_standard_palette","FunctionDecl",3545,3638,"store_palette_entry *(png_store *, int, int)","make standard palette","make : Time Complexity / Space Complexity/ Memory/ Exception","palette","2404095036330"
"init_standard_palette","FunctionDecl",3644,3688,"void (png_store *, png_structp, png_infop, int, int)","init standard palette","init : Properties of Datastructure / Function / Blocks","palette","2403860957219"
"set_random_tRNS","FunctionDecl",3691,3732,"void (png_structp, png_infop, png_byte, int)","set random t RNS","set : Data-Structure and its Components","","2400465904368"
"npasses_from_interlace_type","FunctionDecl",3738,3752,"int (png_const_structp, int)","npasses from interlace type","","","2403534020492"
"bit_size","FunctionDecl",3754,3771,"unsigned int (png_const_structp, png_byte, png_byte)","bit size","bit : Data-Structure and its Components | size : Data-Structure and its Components","","2402023736716"
"transform_rowsize","FunctionDecl",3779,3784,"size_t (png_const_structp, png_byte, png_byte)","transform rowsize","","","2402645710199"
"transform_height","FunctionDecl",3791,3819,"png_uint_32 (png_const_structp, png_byte, png_byte)","transform height","height : Data-Structure and its Components","","2402231269315"
"standard_width","FunctionDecl",3825,3835,"png_uint_32 (png_const_structp, png_uint_32)","standard width","","","2400797779684"
"standard_height","FunctionDecl",3837,3846,"png_uint_32 (png_const_structp, png_uint_32)","standard height","height : Data-Structure and its Components","","2403378250532"
"standard_rowsize","FunctionDecl",3848,3856,"png_uint_32 (png_const_structp, png_uint_32)","standard rowsize","","","2404185342419"
"transform_row","FunctionDecl",3859,3970,"void (png_const_structp, png_byte *, png_byte, png_byte, png_uint_32)","transform row","","","2402646297565"
"interlace_row","FunctionDecl",4031,4052,"void (png_bytep, png_const_bytep, unsigned int, png_uint_32, int, int)","interlace row","","","2400060418217"
"deinterlace_row","FunctionDecl",4055,4074,"void (png_bytep, png_const_bytep, unsigned int, png_uint_32, int, int)","deinterlace row","","","2401513813292"
"choose_random_filter","FunctionDecl",4084,4100,"void (png_structp, int)","choose random filter","choose : Operations as part of Algorithms","","2404144682968"
"make_transform_image","FunctionDecl",4105,4267,"void (png_store *const, const png_byte, const png_byte, unsigned int, int, png_const_charp)","make transform image","make : Time Complexity / Space Complexity/ Memory/ Exception","image","2402788441317"
"make_transform_images","FunctionDecl",4269,4298,"void (png_modifier *)","make transform images","make : Time Complexity / Space Complexity/ Memory/ Exception","images","2404140070755"
"size_row","FunctionDecl",4303,4322,"void (png_byte *, png_uint_32, png_uint_32)","size row","size : Data-Structure and its Components","","2404148081667"
"make_size_image","FunctionDecl",4324,4519,"void (png_store *const, const png_byte, const png_byte, const int, const png_uint_32, const png_uint_32, const int)","make size image","make : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","image","2400986350549"
"make_size","FunctionDecl",4521,4557,"void (png_store *const, const png_byte, int, const int)","make size","make : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","2402144032402"
"make_size_images","FunctionDecl",4559,4572,"void (png_store *)","make size images","make : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","images","2401671174169"
"standard_row","FunctionDecl",4576,4585,"void (png_const_structp, png_byte *, png_uint_32, png_uint_32)","standard row","","","2403310667137"
"sBIT0_error_fn","FunctionDecl",4597,4604,"void (png_structp, png_infop)","s BIT0 error fn","error : Time Complexity / Space Complexity/ Memory/ Exception","","2403098962370"
"sBIT_error_fn","FunctionDecl",4606,4622,"void (png_structp, png_infop)","s BIT error fn","bit : Data-Structure and its Components | error : Time Complexity / Space Complexity/ Memory/ Exception","","2402443959473"
"make_error","FunctionDecl",4639,4776,"void (png_store *const, const png_byte, png_byte, int, int, png_const_charp)","make error","make : Time Complexity / Space Complexity/ Memory/ Exception | error : Time Complexity / Space Complexity/ Memory/ Exception","","2403550758164"
"make_errors","FunctionDecl",4778,4807,"int (png_modifier *const, const png_byte, int, const int)","make errors","make : Time Complexity / Space Complexity/ Memory/ Exception","","2401215617538"
"perform_error_test","FunctionDecl",4810,4834,"void (png_modifier *)","perform error test","error : Time Complexity / Space Complexity/ Memory/ Exception","","2401013530791"
"perform_formatting_test","FunctionDecl",4839,4909,"void (png_store *)","perform formatting test","","","2400320611470"
"standard_display_init","FunctionDecl",4971,5007,"void (standard_display *, png_store *, png_uint_32, int, int)","standard display init","display : Operations as part of Algorithms | init : Properties of Datastructure / Function / Blocks","","2404262393792"
"standard_palette_init","FunctionDecl",5012,5038,"void (standard_display *)","standard palette init","init : Properties of Datastructure / Function / Blocks","palette","2403250696067"
"read_palette","FunctionDecl",5044,5131,"int (struct store_palette_entry *, int *, png_const_structp, png_infop)","read palette","read : Operations as part of Data structure","palette","2403552262959"
"standard_palette_validate","FunctionDecl",5136,5168,"void (standard_display *, png_const_structp, png_infop)","standard palette validate","validate : Operations as part of Algorithms","palette","2403713671628"
"standard_info_part1","FunctionDecl",5178,5336,"void (standard_display *, png_structp, png_infop)","standard info part1","","","2403698812665"
"standard_info_part2","FunctionDecl",5342,5366,"void (standard_display *, png_const_structp, png_const_infop, int)","standard info part2","","","2401373494472"
"standard_info_imp","FunctionDecl",5368,5395,"void (standard_display *, png_structp, png_infop, int)","standard info imp","","","2402108871336"
"standard_info","FunctionDecl",5397,5407,"void (png_structp, png_infop)","standard info","","","2401371627939"
"progressive_row","FunctionDecl",5409,5469,"void (png_structp, png_bytep, png_uint_32, int)","progressive row","","progressive","2402923996143"
"sequential_row","FunctionDecl",5471,5533,"void (standard_display *, png_structp, png_infop, int, int)","sequential row","sequential : Operations as part of Algorithms","","2400405405423"
"standard_check_text","FunctionDecl",5536,5615,"void (png_const_structp, png_const_textp, png_const_charp, png_const_charp)","standard check text","check : Operations as part of Algorithms","text","2401059120565"
"standard_text_validate","FunctionDecl",5617,5644,"void (standard_display *, png_const_structp, png_infop, int)","standard text validate","validate : Operations as part of Algorithms","text","2402336986005"
"standard_row_validate","FunctionDecl",5649,5688,"void (standard_display *, png_const_structp, int, int, png_uint_32)","standard row validate","validate : Operations as part of Algorithms","","2402345815271"
"standard_image_validate","FunctionDecl",5690,5707,"void (standard_display *, png_const_structp, int, int)","standard image validate","validate : Operations as part of Algorithms","image","2403589925230"
"standard_end","FunctionDecl",5709,5724,"void (png_structp, png_infop)","standard end","end : Time Complexity / Space Complexity/ Memory/ Exception","","2401953245042"
"standard_test","FunctionDecl",5727,5813,"void (png_store *const, const png_uint_32, int, int)","standard test","","","2400597001201"
"test_standard","FunctionDecl",5815,5836,"int (png_modifier *const, const png_byte, int, const int)","test standard","","","2403026295741"
"perform_standard_test","FunctionDecl",5838,5858,"void (png_modifier *)","perform standard test","","","2403345966238"
"test_size","FunctionDecl",5862,5981,"int (png_modifier *const, const png_byte, int, const int)","test size","size : Data-Structure and its Components","","2403371494421"
"perform_size_test","FunctionDecl",5983,6008,"void (png_modifier *)","perform size test","size : Data-Structure and its Components","","2403606342075"
"image_pixel_setf","FunctionDecl",6053,6078,"void (image_pixel *, unsigned int, unsigned int, unsigned int, unsigned int)","image pixel setf","","image | pixel","2401398272983"
"image_pixel_init","FunctionDecl",6084,6186,"void (image_pixel *, png_const_bytep, png_byte, png_byte, png_uint_32, struct store_palette_entry *, const image_pixel *)","image pixel init","init : Properties of Datastructure / Function / Blocks","image | pixel","2401728057311"
"image_pixel_convert_PLTE","FunctionDecl",6198,6216,"void (image_pixel *)","image pixel convert PLTE","convert : Operations as part of Algorithms","image | pixel","2400518366946"
"image_pixel_add_alpha","FunctionDecl",6225,6295,"void (image_pixel *, const standard_display *, int)","image pixel add alpha","add : Operations as part of Data structure","image | pixel | alpha","2403360881489"
"transform_set_encoding","FunctionDecl",6377,6401,"void (transform_display *)","transform set encoding","set : Data-Structure and its Components","","2400343424755"
"image_transform_ini_end","FunctionDecl",6404,6410,"void (const image_transform *, transform_display *)","image transform ini end","end : Time Complexity / Space Complexity/ Memory/ Exception","image","2403363853392"
"image_transform_set_end","FunctionDecl",6412,6420,"void (const image_transform *, transform_display *, png_structp, png_infop)","image transform set end","set : Data-Structure and its Components | end : Time Complexity / Space Complexity/ Memory/ Exception","image","2403611565903"
"sample_scale","FunctionDecl",6425,6437,"unsigned int (double, unsigned int)","sample scale","","","2400636276545"
"image_transform_mod_end","FunctionDecl",6439,6513,"void (const image_transform *, image_pixel *, png_const_structp, const transform_display *)","image transform mod end","end : Time Complexity / Space Complexity/ Memory/ Exception","image","2403929570302"
"transform_display_init","FunctionDecl",6533,6552,"void (transform_display *, png_modifier *, png_uint_32, const image_transform *)","transform display init","display : Operations as part of Algorithms | init : Properties of Datastructure / Function / Blocks","","2403662792676"
"transform_info_imp","FunctionDecl",6554,6707,"void (transform_display *, png_structp, png_infop)","transform info imp","","","2401531005417"
"transform_info","FunctionDecl",6709,6714,"void (png_structp, png_infop)","transform info","","","2403395684786"
"transform_range_check","FunctionDecl",6716,6759,"void (png_const_structp, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double, unsigned int, png_byte, double, double, const char *, double)","transform range check","range : Data-Structure and its Components | check : Operations as part of Algorithms","","2402927826417"
"transform_image_validate","FunctionDecl",6761,6923,"void (transform_display *, png_const_structp, png_infop)","transform image validate","validate : Operations as part of Algorithms","image","2400274650840"
"transform_end","FunctionDecl",6925,6936,"void (png_structp, png_infop)","transform end","end : Time Complexity / Space Complexity/ Memory/ Exception","","2403788868561"
"transform_test","FunctionDecl",6939,7019,"void (png_modifier *, png_uint_32, const image_transform *, const char *const)","transform test","","","2403995251861"
"image_transform_default_ini","FunctionDecl",7042,7043,"void (const image_transform *, transform_display *)","image transform default ini","default : Properties of Datastructure / Function / Blocks","image","2400955828953"
